id,name,accuracy,power_points,priority,power,description,type_id
94,psychic,100,10,0,90,An attack that maylower SPCLDEF,14
95,hypnosis,60,20,0,,May put the foe tosleep,14
96,meditate,,40,0,,Raises the user'sATTACK,14
97,agility,,30,0,,Sharply increasesthe user's SPEED,14
98,quick-attack,100,30,1,40,Lets the user getin the first hit,1
99,rage,100,20,0,20,Raises ATTACK ifthe user is hit,1
100,teleport,,20,-6,,A move for fleeingfrom battle,14
101,night-shade,100,15,0,,The user's levelequals damage HP,8
102,mimic,,10,0,,Copies a move usedby the foe,1
103,screech,85,40,0,,An earsplitting screech harshly lowersthe target’s Defense stat,1
104,double-team,,15,0,,Heightens evasive­ness,1
105,recover,,10,0,,Restores HP by 1/2the max HP,1
106,harden,,30,0,,Raises the user'sDEFENSE,1
107,minimize,,10,0,,Heightens evasive­ness,1
108,smokescreen,100,20,0,,Lowers the foe'saccuracy,1
109,confuse-ray,100,10,0,,A move that causesconfusion,8
110,withdraw,,40,0,,Heightens theuser's DEFENSE,11
111,defense-curl,,40,0,,Heightens theuser's DEFENSE,1
112,barrier,,20,0,,Sharply increasesuser's DEFENSE,14
113,light-screen,,30,0,,Ups SPCLDEF witha wall of light,14
114,haze,,30,0,,Eliminates allstat changes,15
115,reflect,,20,0,,Raises DEFENSEwith a barrier,14
116,focus-energy,,30,0,,Raises the criti­cal hit ratio,1
117,bide,,10,1,,Waits 2-3 turns &hits back double,1
118,metronome,,10,0,,Randomly uses anyPOKéMON move,1
119,mirror-move,,20,0,,Counters with thesame move,3
120,self-destruct,100,5,0,200,Powerful but makesthe user faint,1
121,egg-bomb,75,10,0,100,Eggs are hurled atthe foe,1
122,lick,100,30,0,30,An attack that maycause paralysis,8
123,smog,70,20,0,30,An attack that maypoison the foe,4
124,sludge,100,20,0,65,An attack that maypoison the foe,4
125,bone-club,85,20,0,65,An attack that maycause flinching,5
126,fire-blast,85,5,0,110,An attack thatmay cause a burn,10
127,waterfall,100,15,0,80,An aquatic chargeattack,11
128,clamp,85,15,0,35,Traps the foe for2-5 turns,11
129,swift,,20,0,60,An attack thatnever misses,1
130,skull-bash,100,10,0,130,1st turn: Prepare2nd turn: Attack,1
131,spike-cannon,100,15,0,20,Fires spikes tohit 2-5 times,1
132,constrict,100,35,0,10,An attack that maylower SPEED,1
133,amnesia,,20,0,,Sharply raises theuser's SPCLDEF,14
134,kinesis,80,15,0,,Reduces the foe'saccuracy,14
135,soft-boiled,,10,0,,Restores HP by 1/2the user's max HP,1
136,high-jump-kick,90,10,0,130,May miss and hurtthe user,2
137,glare,100,30,0,,A move that maycause paralysis,1
138,dream-eater,100,15,0,100,Steals HP from asleeping victim,14
139,poison-gas,90,40,0,,A move that maypoison the foe,4
140,barrage,85,20,0,15,Throws orbs to hit2-5 times,1
141,leech-life,100,10,0,80,Steals 1/2 of thedamage inflicted,7
142,lovely-kiss,75,10,0,,May cause the foeto fall asleep,1
143,sky-attack,90,5,0,140,1st turn: Prepare2nd turn: Attack,3
144,transform,,10,0,,The user assumesthe foe's guise,1
145,bubble,100,30,0,40,An attack that mayreduce SPEED,11
146,dizzy-punch,100,10,0,70,An attack that maycause confusion,1
147,spore,100,15,0,,The user scatters bursts of sporesthat induce sleep,12
148,flash,100,20,0,,Blinds the foe toreduce accuracy,1
149,psywave,100,15,0,,An attack withvariable power,14
150,splash,,40,0,,Has no effectwhatsoever,1
151,acid-armor,,20,0,,Sharply raises theuser's DEFENSE,4
152,crabhammer,90,10,0,100,Has a high criti­cal hit ratio,11
153,explosion,100,5,0,250,Inflicts severe damage butmakes the user faint,1
154,fury-swipes,80,15,0,18,Quickly scratches2-5 times,1
155,bonemerang,90,10,0,50,An attack thatstrikes twice,5
156,rest,,10,0,,Sleep for 2 turnsto fully recover,14
157,rock-slide,90,10,0,75,An attack that maycause flinching,6
158,hyper-fang,90,15,0,80,An attack that maycause flinching,1
159,sharpen,,30,0,,Reduces the polygon countand raises ATTACK,1
160,conversion,,30,0,,Change user's typeto a move's type,1
161,tri-attack,100,10,0,80,Fires three kindsof beams at once,1
162,super-fang,90,10,0,,Cuts the foe's HPby 1/2,1
163,slash,100,20,0,70,Has a high criti­cal hit ratio,1
164,substitute,,10,0,,Makes a decoy with1/4 user's max HP,1
165,struggle,,1,0,50,Used only if allPP are exhausted,1
166,sketch,,1,0,,Copies the foe'smove permanently,1
167,triple-kick,90,10,0,10,Hits three timeswith rising power,2
168,thief,100,25,0,60,An attack that maysteal a held item,17
169,spider-web,,10,0,,Prevents fleeingor switching,7
170,mind-reader,,5,0,,Ensures the nextattack will hit,1
171,nightmare,100,15,0,,A sleeper loses1/4 HP every turn,8
172,flame-wheel,100,25,0,60,An attack that maycause a burn,10
173,snore,100,15,0,50,An attack useableonly while asleep,1
174,curse,,10,0,,Works differentlyfor ghost-types,8
175,flail,100,15,0,,Stronger if theuser's HP is low,1
176,conversion-2,,30,0,,The user's type ismade resistant,1
177,aeroblast,95,5,0,100,Has a high criti­cal hit ratio,3
178,cotton-spore,100,40,0,,Sharply reducesthe foe's SPEED,12
179,reversal,100,15,0,,Stronger if theuser's HP is low,2
180,spite,100,10,0,,Cuts the PP of thefoe's last move,8
181,powder-snow,100,25,0,40,An attack that maycause freezing,15
182,protect,,10,4,,Foils attack thatturn It may fail,1
183,mach-punch,100,30,1,40,A fast punch thatlands first,2
184,scary-face,100,10,0,,Sharply reducesthe foe's SPEED,1
185,feint-attack,,20,0,60,An attack thatnever misses,17
186,sweet-kiss,75,10,0,,A move that causesconfusion,18
187,belly-drum,,10,0,,Reduces own HP tomaximize ATTACK,1
188,sludge-bomb,100,10,0,90,An attack that maypoison the foe,4
189,mud-slap,100,10,0,20,Reduces the foe'saccuracy,5
190,octazooka,85,10,0,65,An attack that mayreduce accuracy,11
191,spikes,,20,0,,Hurts foes whenthey switch out,5
192,zap-cannon,50,5,0,120,An attack thatalways paralyzes,13
193,foresight,,40,0,,Negates accuracyreduction moves,1
194,destiny-bond,,5,0,,The foe faints ifthe user does,8
195,perish-song,,5,0,,Both user and foefaint in 3 turns,1
196,icy-wind,95,15,0,55,A chilling attack thatlowers the foe’s SPEED,15
197,detect,,5,4,,Evades attack thatturn It may fail,2
198,bone-rush,90,10,0,25,An attack thathits 2-5 times,5
199,lock-on,,5,0,,Ensures the nextattack will hit,1
200,outrage,100,10,0,120,Works 2-3 turnsand confuses user,16
201,sandstorm,,10,0,,Inflicts damageevery turn,6
202,giga-drain,100,10,0,75,Steals 1/2 of thedamage inflicted,12
203,endure,,10,4,,Always leaves atleast 1HP,1
204,charm,100,20,0,,Sharply lowers thefoe's ATTACK,18
205,rollout,90,20,0,30,Attacks 5 turnswith rising power,6
206,false-swipe,100,40,0,40,Leaves the foewith at least 1HP,1
207,swagger,85,15,0,,Causes confusionand raises ATTACK,1
208,milk-drink,,10,0,,Restores HP by 1/2the max HP,1
209,spark,100,20,0,65,An attack that maycause paralysis,13
210,fury-cutter,95,20,0,40,An attack that intensifieson each successive hit,7
211,steel-wing,90,25,0,70,Stiff wings strikethe foe,9
212,mean-look,,5,0,,Prevents fleeingor switching,1
213,attract,100,15,0,,Makes the oppositegender infatuated,1
214,sleep-talk,,10,0,,Randomly attackswhile asleep,1
215,heal-bell,,5,0,,The user makes a soothing bell chimeto heal the status problems of all theparty Pokémon,1
216,return,100,20,0,,An attack that increasesin power with friendship,1
217,present,90,15,0,,A bomb that mayrestore HP,1
218,frustration,100,20,0,,An attack based onlack of loyalty,1
219,safeguard,,25,0,,Prevents allstatus problems,1
220,pain-split,,20,0,,Adds user & foe'sHPs Shares total,1
221,sacred-fire,95,5,0,100,An attack that mayinflict a burn,10
222,magnitude,100,30,0,,A ground attackwith random power,5
223,dynamic-punch,50,5,0,100,An attack thatalways confuses,2
224,megahorn,85,10,0,120,A powerful chargeattack,7
225,dragon-breath,100,20,0,60,A strong breathattack,16
226,baton-pass,,40,0,,Switches whilekeeping effects,1
227,encore,100,5,0,,Makes the foe re­peat 2-6 times,1
228,pursuit,100,20,0,40,Heavily strikesswitching POKéMON,17
229,rapid-spin,100,40,0,50,A high-speedspinning attack,1
230,sweet-scent,100,20,0,,Reduces the foe'sevasiveness,1
231,iron-tail,75,15,0,100,An attack that mayreduce DEFENSE,9
232,metal-claw,95,35,0,50,An attack that mayup user's ATTACK,9
233,vital-throw,,10,-1,70,A 2nd-strike movethat never misses,2
234,morning-sun,,5,0,,Restores HP(varies by time),1
235,synthesis,,5,0,,Restores HP(varies by time),12
236,moonlight,,5,0,,Restores HP(varies by time),18
237,hidden-power,100,15,0,60,The power varieswith the POKéMON,1
238,cross-chop,80,5,0,100,Has a high criti­cal hit ratio,2
239,twister,100,20,0,40,Whips up a tornadoto attack,16
240,rain-dance,,5,0,,Boosts water-typemoves for 5 turns,11
241,sunny-day,,5,0,,Boosts fire-typemoves for 5 turns,10
242,crunch,100,15,0,80,An attack that maylower SPCLDEF,17
243,mirror-coat,100,20,-5,,Counters a SPCLATK move double,14
244,psych-up,,10,0,,Copies the foe'sstat changes,1
245,extreme-speed,100,5,2,80,A powerful first-strike move,1
246,ancient-power,100,5,0,60,An attack that mayraise all stats,6
247,shadow-ball,100,15,0,80,An attack that maylower SPCLDEF,8
248,future-sight,100,10,0,120,An attack thathits on 3rd turn,14
249,rock-smash,100,15,0,40,A rock-crushing attackthat may lower DEFENSE,2
250,whirlpool,85,15,0,35,Traps the foe for2-5 turns,11
251,beat-up,100,10,0,,Party POKéMON joinin the attack,17
252,fake-out,100,10,3,40,"A 1st-turn, 1st-strike movethat causes flinching",1
253,uproar,100,10,0,90,Causes an uproar for 2 to 5turns and prevents sleep,1
254,stockpile,,20,0,,Charges up power for up to3 turns,1
255,spit-up,100,10,0,,Releases stockpiled power(the more the better),1
256,swallow,,10,0,,Absorbs stockpiled powerand restores HP,1
257,heat-wave,90,10,0,95,Exhales a hot breath on thefoe May inflict a burn,10
258,hail,,10,0,,Summons a hailstorm thatstrikes every turn,15
259,torment,100,15,0,,Torments the foe and stopssuccessive use of a move,17
260,flatter,100,15,0,,"Confuses the foe, butraises its SP ATK",17
261,will-o-wisp,85,15,0,,Inflicts a burn on the foewith intense fire,10
262,memento,100,10,0,,The user faints and lowersthe foe’s abilities,17
263,facade,100,20,0,70,"Boosts ATTACK when burned,paralyzed, or poisoned",1
264,focus-punch,100,20,-3,150,A powerful loyalty attackThe user flinches if hit,2
265,smelling-salts,100,10,0,70,"Powerful against paralyzedfoes, but also heals them",1
266,follow-me,,20,2,,Draws attention to makefoes attack only the user,1
267,nature-power,,20,0,,The type of attack variesdepending on the location,1
268,charge,,20,0,,Charges power to boost theelectric move used next,13
269,taunt,100,20,0,,Taunts the foe into onlyusing attack moves,17
270,helping-hand,,20,5,,Boosts the power of therecipient’s moves,1
271,trick,100,10,0,,Tricks the foe into tradingheld items,14
272,role-play,,10,0,,Mimics the target andcopies its special ability,14
273,wish,,10,0,,A wish that restores HPIt takes time to work,1
274,assist,,20,0,,Attacks randomly with oneof the partner’s moves,1
275,ingrain,,20,0,,Lays roots that restore HPThe user can’t switch out,12
276,superpower,100,5,0,120,"Boosts strength sharply,but lowers abilities",2
277,magic-coat,,15,4,,Reflects special effectsback to the attacker,14
278,recycle,,10,0,,Recycles a used item forone more use,1
279,revenge,100,10,-4,60,An attack that gains powerif injured by the foe,2
280,brick-break,100,15,0,75,Destroys barriers such asREFLECT and causes damage,2
281,yawn,,10,0,,"Lulls the foe into yawning,then sleeping next turn",1
282,knock-off,100,20,0,65,Knocks down the foe’s helditem to prevent its use,17
283,endeavor,100,5,0,,Gains power if the user’s HPis lower than the foe’s HP,1
284,eruption,100,5,0,150,"The higher the user’s HP,the more damage caused",10
285,skill-swap,,10,0,,The user swaps specialabilities with the target,14
286,imprison,,10,0,,Prevents foes from usingmoves known by the user,14
287,refresh,,20,0,,"Heals poisoning, paralysis,or a burn",1
288,grudge,,5,0,,"If the user faints, deletesthe PP of the final move",8
289,snatch,,10,4,,Steals the effects of themove the foe uses next,17
290,secret-power,100,20,0,70,An attack with effectsthat vary by location,1
291,dive,100,10,0,80,Dives underwater the firstturn and strikes next turn,11
292,arm-thrust,100,20,0,15,Straight-arm punches thatstrike the foe 2 to 5 times,2
293,camouflage,,20,0,,Alters the POKéMON’s typedepending on the location,1
294,tail-glow,,20,0,,Flashes a light that sharplyraises SP ATK,7
295,luster-purge,100,5,0,70,Attacks with a burst oflight May lower SP DEF,14
296,mist-ball,100,5,0,70,Attacks with a flurry ofdown May lower SP ATK,14
297,feather-dance,100,15,0,,Envelops the foe with downto sharply reduce ATTACK,3
298,teeter-dance,100,20,0,,Confuses all POKéMON onthe scene,1
299,blaze-kick,90,10,0,85,A kick with a high critical-hit ratio May cause a burn,10
300,mud-sport,,15,0,,Covers the user in mud toraise electrical resistance,5
301,ice-ball,90,20,0,30,A 5-turn attack that gainspower on successive hits,15
302,needle-arm,100,15,0,60,Attacks with thorny armsMay cause flinching,12
303,slack-off,,10,0,,Slacks off and restoreshalf the maximum HP,1
304,hyper-voice,100,10,0,90,A loud attack that usessound waves to injure,1
305,poison-fang,100,15,0,50,A sharp-fanged attackMay badly poison the foe,4
306,crush-claw,95,10,0,75,Tears at the foe with sharpclaws May lower DEFENSE,1
307,blast-burn,90,5,0,150,"Powerful, but leaves theuser immobile the next turn",10
308,hydro-cannon,90,5,0,150,"Powerful, but leaves theuser immobile the next turn",11
309,meteor-mash,90,10,0,90,Fires a meteor-like punchMay raise ATTACK,9
310,astonish,100,15,0,30,An attack that may shockthe foe into flinching,8
311,weather-ball,100,10,0,50,The move’s type and powerchange with the weather,1
312,aromatherapy,,5,0,,Heals all status problemswith a soothing scent,12
313,fake-tears,100,20,0,,Feigns crying to sharplylower the foe’s SP DEF,17
314,air-cutter,95,25,0,60,Hacks with razorlike windHigh critical-hit ratio,3
315,overheat,90,5,0,130,"Allows a full-power attack,but sharply lowers SP ATK",10
316,odor-sleuth,,40,0,,Negates the foe’s effortsto heighten evasiveness,1
317,rock-tomb,95,15,0,60,Stops the foe from movingwith rocks and cuts SPEED,6
318,silver-wind,100,5,0,60,A powdery attack that mayraise abilities,7
319,metal-sound,85,40,0,,Emits a horrible screechthat sharply lowers SP DEF,9
320,grass-whistle,55,15,0,,Lulls the foe into sleepwith a pleasant melody,12
321,tickle,100,20,0,,Makes the foe laugh tolower ATTACK and DEFENSE,1
322,cosmic-power,,20,0,,Raises DEFENSE and SP DEFwith a mystic power,14
323,water-spout,100,5,0,150,Inflicts more damage if theuser’s HP is high,11
324,signal-beam,100,15,0,75,A strange beam attack thatmay confuse the foe,7
325,shadow-punch,,20,0,60,An unavoidable punch thatis thrown from shadows,8
326,extrasensory,100,20,0,80,Attacks with a peculiarpower May cause flinching,14
327,sky-uppercut,90,15,0,85,An uppercut thrown as ifleaping into the sky,2
328,sand-tomb,85,15,0,35,The user traps the target inside a harshly ragingsandstorm for four to five turns,5
329,sheer-cold,30,5,0,,A chilling attack thatcauses fainting if it hits,15
330,muddy-water,85,10,0,90,Attacks with muddy waterMay lower accuracy,11
331,bullet-seed,100,30,0,25,Shoots 2 to 5 seeds in a rowto strike the foe,12
332,aerial-ace,,20,0,60,An extremely speedy andunavoidable attack,3
333,icicle-spear,100,30,0,25,Attacks the foe by firing2 to 5 icicles in a row,15
334,iron-defense,,15,0,,Hardens the body’s surfaceto sharply raise DEFENSE,9
335,block,,5,0,,Blocks the foe’s way toprevent escape,1
336,howl,,40,0,,Howls to raise the spiritand boosts ATTACK,1
337,dragon-claw,100,15,0,80,Slashes the foe with sharpclaws,16
338,frenzy-plant,90,5,0,150,"Powerful, but leaves theuser immobile the next turn",12
339,bulk-up,,20,0,,Bulks up the body to boostboth ATTACK and DEFENSE,2
340,bounce,85,5,0,85,"Bounces up, then down thenext turn May paralyze",3
341,mud-shot,95,15,0,55,Hurls mud at the foe andreduces SPEED,5
342,poison-tail,100,25,0,50,Has a high critical-hitratio May also poison,4
343,covet,100,25,0,60,Cutely begs to obtain anitem held by the foe,1
344,volt-tackle,100,15,0,120,A life-risking tackle thatslightly hurts the user,13
345,magical-leaf,,20,0,60,Attacks with a strange leafthat cannot be evaded,12
346,water-sport,,15,0,,The user becomes soaked toraise resistance to fire,11
347,calm-mind,,20,0,,Raises SP ATK and SP DEFby focusing the mind,14
348,leaf-blade,100,15,0,90,Slashes with a sharp leafHigh critical-hit ratio,12
349,dragon-dance,,20,0,,A mystical dance that upsATTACK and SPEED,16
350,rock-blast,90,10,0,25,Hurls boulders at the foe2 to 5 times in a row,6
351,shock-wave,,20,0,60,A fast and unavoidableelectric attack,13
352,water-pulse,100,20,0,60,Attacks with ultrasonicwaves May confuse the foe,11
353,doom-desire,100,5,0,140,Summons strong sunlight toattack 2 turns later,9
354,psycho-boost,90,5,0,140,"Allows a full-power attack,but sharply lowers SP ATK",14
355,roost,,10,0,,The user lands andrests its bodyIt restores theuser’s HP by up tohalf of its max HP,3
356,gravity,,5,0,,"Gravity is intensifiedfor five turns, makingmoves involving flyingunusable andnegating Levitation",14
357,miracle-eye,,40,0,,Enables the user tohit a Ghost type withany type of move Italso enables the userto hit an evasive foe,14
358,wake-up-slap,100,10,0,70,"This attack inflictshigh damage on asleeping foe Italso wakes the foeup, however",2
359,hammer-arm,90,10,0,100,"The user swings andhits with its strongand heavy fistIt lowers the user’sSpeed, however",2
360,gyro-ball,100,5,0,,"The user tackles thefoe with a high-speedspin The slower theuser, the greaterthe damage",9
361,healing-wish,,10,0,,"The user faints Inreturn, the Pokémontaking its place willhave its HP restoredand status cured",14
362,brine,100,10,0,65,"If the foe’s HP isdown to about half,this attack will hitwith double thepower",11
363,natural-gift,100,15,0,,The user draws powerto attack by usingits held BerryThe Berry determinesits type and power,1
364,feint,100,10,2,30,An attack that hits afoe using Protect orDetect It also liftsthe effects of thosemoves,1
365,pluck,100,20,0,60,"The user pecks thefoe If the foe isholding a Berry, theuser plucks it andgains its effect",3
366,tailwind,,15,0,,The user whips up aturbulent whirlwindthat ups the Speedof all party Pokémonfor three turns,3
367,acupressure,,30,0,,"The user appliespressure to stresspoints, sharplyboosting one of itsstats",1
368,metal-burst,100,10,0,,The user retaliatesagainst the foe thatlast inflicted damageon it with muchgreater power,9
369,u-turn,100,20,0,70,"After making itsattack, the userrushes back to switchplaces with a partyPokémon in waiting",7
370,close-combat,100,5,0,120,The user fights thefoe in close withoutguarding itself Italso cuts the user’sDefense and Sp Def,2
371,payback,100,10,0,50,"If the user can usethis attack after thefoe attacks, itspower is doubled",17
372,assurance,100,10,0,60,"If the foe hasalready taken somedamage in the sameturn, this attack’spower is doubled",17
373,embargo,100,15,0,,It prevents the foefrom using its helditem Its Trainer isalso prevented fromusing items on it,17
374,fling,100,10,0,,The user flings itsheld item at the foeto attack Its powerand effects dependon the item,17
375,psycho-shift,100,10,0,,"Using its psychicpower of suggestion,the user transfersits status problemsto the target",14
376,trump-card,,5,0,,"The fewer PP this move has, the greaterits attack power",1
377,heal-block,100,15,0,,The user preventsthe foe from usingany HP-recoverymoves for five turns,14
378,wring-out,100,5,0,,"The user powerfullywrings the foeThe more HP the foehas, the greater thisattack’s power",1
379,power-trick,,10,0,,The user employs itspsychic power toswitch its Attackwith its Defensestat,14
380,gastro-acid,100,10,0,,The user hurls up itsstomach acids onthe foe The fluideliminates the effectof the foe’s ability,4
381,lucky-chant,,30,0,,"The user chants anincantation towardthe sky, preventingthe foe from landingcritical hits",1
382,me-first,,20,0,,The user tries to cutahead of the foe tosteal and use thefoe’s intended movewith greater power,1
383,copycat,,20,0,,The user mimics themove used immediatelybefore it The movefails if no other movehas been used yet,1
384,power-swap,,10,0,,The user employs itspsychic power toswitch changes toits Attack andSp Atk with the foe,14
385,guard-swap,,10,0,,The user employs itspsychic power toswitch changes toits Defense andSp Def with the foe,14
386,punishment,100,5,0,,This attack’s powerincreases the morethe foe has poweredup with stat changes,17
387,last-resort,100,5,0,140,This move can be usedonly after the userhas used all theother moves it knowsin the battle,1
388,worry-seed,100,10,0,,A seed that causesworry is planted onthe foe It preventssleep by making itsability Insomnia,12
389,sucker-punch,100,5,1,70,"This move enables theuser to attack firstIt fails if the foe isnot readying anattack, however",17
390,toxic-spikes,,20,0,,The user lays a trapof poison spikes atthe foe’s feet Theypoison foes thatswitch into battle,4
391,heart-swap,,10,0,,The user employs its psychic power to switch statchanges with the target,14
392,aqua-ring,,20,0,,The user envelopsitself in a veil madeof water It regainssome HP on everyturn,11
393,magnet-rise,,10,0,,The user levitatesusing electricallygenerated magnetismfor five turns,13
394,flare-blitz,100,15,0,120,"The user cloaksitself in fire andcharges at the foeThe user sustainsserious damage, too",10
395,force-palm,100,10,0,60,The foe is attackedwith a shock waveIt may also leave thetarget paralyzed,2
396,aura-sphere,,20,0,80,The user looses ablast of aura powerfrom deep within itsbody This move iscertain to hit,2
397,rock-polish,,20,0,,The user polishes itsbody to reduce dragIt can sharply raisethe Speed stat,6
398,poison-jab,100,20,0,80,The foe is stabbedwith a tentacle orarm steeped inpoison It may alsopoison the foe,4
399,dark-pulse,100,15,0,80,The user releases ahorrible aura imbuedwith dark thoughtsIt may also make thetarget flinch,17
400,night-slash,100,15,0,70,The user slashes thefoe the instant anopportunity arisesIt has a highcritical-hit ratio,17
401,aqua-tail,90,10,0,90,The user attacks byswinging its tail as ifit were a vicious wavein a raging storm,11
402,seed-bomb,100,15,0,80,The user slams abarrage of hard-shelled seedsdown on the foefrom above,12
403,air-slash,95,15,0,75,The user attacks witha blade of air thatslices even the skyIt may also make thetarget flinch,3
404,x-scissor,100,15,0,80,The user slashes atthe foe by crossingits scythes or clawsas if they were a pairof scissors,7
405,bug-buzz,100,10,0,90,The user vibrates itswings to generate adamaging sound waveIt may also lower thefoe’s Sp Def stat,7
406,dragon-pulse,100,10,0,85,The foe is attackedwith a shock wavegenerated by theuser’s gaping mouth,16
407,dragon-rush,75,10,0,100,The user tackles thefoe while exhibitingoverwhelming menaceIt may also make thetarget flinch,16
